"Gene.stable.ID","HGNC.symbol","Gene.stable.ID.1"
"ENSNFUG00015006229","SIK1B","ENSG00000275993"
"ENSNFUG00015013914","WASF3","ENSG00000132970"
"ENSNFUG00015001355","URAD","ENSG00000183463"
"ENSNFUG00015003053","GTF3A","ENSG00000122034"
"ENSNFUG00015011311","","ENSG00000280433"
"ENSNFUG00015004966","TSC22D1","ENSG00000102804"
"ENSNFUG00015008349","MPHOSPH8","ENSG00000196199"
"ENSNFUG00015020729","TSPY4","ENSG00000233803"
"ENSNFUG00015020729","TSPY9P","ENSG00000238074"
"ENSNFUG00015020729","TSPY10","ENSG00000236424"
"ENSNFUG00015020729","TSPY1","ENSG00000258992"
"ENSNFUG00015020729","TSPY2","ENSG00000168757"
"ENSNFUG00015020729","TSPY3","ENSG00000228927"
"ENSNFUG00015020729","TSPY8","ENSG00000229549"
"ENSNFUG00015008849","DDX3Y","ENSG00000067048"
"ENSNFUG00015005767","DAZ2","ENSG00000205944"
"ENSNFUG00015005767","DAZ4","ENSG00000205916"
"ENSNFUG00015005767","DAZ1","ENSG00000188120"
"ENSNFUG00015005767","DAZ3","ENSG00000187191"
"ENSNFUG00015008582","MC2R","ENSG00000185231"
"ENSNFUG00015008328","COLEC12","ENSG00000158270"
"ENSNFUG00015015658","NDUFV2","ENSG00000178127"
"ENSNFUG00015004982","GTF2F2","ENSG00000188342"
"ENSNFUG00015016625","TBC1D4","ENSG00000136111"
"ENSNFUG00015017557","KPNA3","ENSG00000102753"
"ENSNFUG00015008402","C21orf91","ENSG00000154642"
"ENSNFUG00015020427","GGT2","ENSG00000133475"
"ENSNFUG00015020427","GGTLC3","ENSG00000274252"
"ENSNFUG00015020427","GGTLC2","ENSG00000100121"
"ENSNFUG00015009479","NLGN4Y","ENSG00000165246"
"ENSNFUG00015024768","PIBF1","ENSG00000083535"
"ENSNFUG00015022910","APP","ENSG00000142192"
"ENSNFUG00015009026","AKAP11","ENSG00000023516"
"ENSNFUG00015004376","POMP","ENSG00000132963"
"ENSNFUG00015005898","ADCYAP1","ENSG00000141433"
"ENSNFUG00015013377","URB1","ENSG00000142207"
"ENSNFUG00015013206","RWDD2B","ENSG00000156253"
"ENSNFUG00015014651","FREM2","ENSG00000150893"
"ENSNFUG00015004953","SERP2","ENSG00000151778"
"ENSNFUG00015002796","HMGB1","ENSG00000189403"
"ENSNFUG00015010728","THOC1","ENSG00000079134"
"ENSNFUG00015018920","TSPY4","ENSG00000233803"
"ENSNFUG00015018920","TSPY9P","ENSG00000238074"
"ENSNFUG00015018920","TSPY10","ENSG00000236424"
"ENSNFUG00015018920","TSPY1","ENSG00000258992"
"ENSNFUG00015018920","TSPY2","ENSG00000168757"
"ENSNFUG00015018920","TSPY3","ENSG00000228927"
"ENSNFUG00015018920","TSPY8","ENSG00000229549"
"ENSNFUG00015022774","JAM2","ENSG00000154721"
"ENSNFUG00015024513","CCT8","ENSG00000156261"
"ENSNFUG00015024550","DACH1","ENSG00000276644"
"ENSNFUG00015016830","KATNAL1","ENSG00000102781"
"ENSNFUG00015024113","LNX2","ENSG00000139517"
"ENSNFUG00015009342","CDY1","ENSG00000172288"
"ENSNFUG00015009342","CDY2A","ENSG00000182415"
"ENSNFUG00015009342","CDY1B","ENSG00000172352"
"ENSNFUG00015009342","CDY2B","ENSG00000129873"
"ENSNFUG00015016515","UFM1","ENSG00000120686"
"ENSNFUG00015009569","MICU2","ENSG00000165487"
"ENSNFUG00015008354","","ENSG00000251796"
"ENSNFUG00015008354","","ENSG00000251925"
"ENSNFUG00015009415","LHFPL6","ENSG00000183722"
"ENSNFUG00015021242","JAM2","ENSG00000154721"
"ENSNFUG00015012101","CBY2","ENSG00000174015"
"ENSNFUG00015005210","ELF1","ENSG00000120690"
"ENSNFUG00015009877","PCDH8","ENSG00000136099"
"ENSNFUG00015015624","UBE2L5","ENSG00000236444"
"ENSNFUG00015005176","CNMD","ENSG00000136110"
"ENSNFUG00015005741","COLEC12","ENSG00000158270"
"ENSNFUG00015013607","HMGB1","ENSG00000189403"
"ENSNFUG00015002158","CHGB","ENSG00000089199"
"ENSNFUG00015021679","RSPO4","ENSG00000101282"
"ENSNFUG00015004681","PIK3C3","ENSG00000078142"
"ENSNFUG00015005902","METTL4","ENSG00000101574"
"ENSNFUG00015008997","NUFIP1","ENSG00000083635"
"ENSNFUG00015003616","TGIF2LY","ENSG00000176679"
"ENSNFUG00015004555","TSC22D1","ENSG00000102804"
"ENSNFUG00015022541","NKX2-2","ENSG00000125820"
"ENSNFUG00015024547","UBAC2","ENSG00000134882"
"ENSNFUG00015010676","USP14","ENSG00000101557"
"ENSNFUG00015011085","PCDH20","ENSG00000280165"
"ENSNFUG00015002792","IL17RA","ENSG00000177663"
"ENSNFUG00015015085","ANKRD30B","ENSG00000180777"
"ENSNFUG00015007408","LACC1","ENSG00000179630"
"ENSNFUG00015007408","","ENSG00000281883"
"ENSNFUG00015007757","SLC5A3","ENSG00000198743"
"ENSNFUG00015013213","USP16","ENSG00000156256"
"ENSNFUG00015024181","DDX3Y","ENSG00000067048"
"ENSNFUG00015008132","AKAP11","ENSG00000023516"
"ENSNFUG00015009901","GTF2F2","ENSG00000188342"
"ENSNFUG00015005170","PCDH8","ENSG00000136099"
"ENSNFUG00015009938","GPALPP1","ENSG00000133114"
"ENSNFUG00015001902","SAP18","ENSG00000150459"
"ENSNFUG00015013476","RNF17","ENSG00000132972"
"ENSNFUG00015011713","DONSON","ENSG00000159147"
"ENSNFUG00015024557","BORA","ENSG00000136122"
"ENSNFUG00015016544","FREM2","ENSG00000150893"
"ENSNFUG00015009293","ANGPT4","ENSG00000101280"
"ENSNFUG00015024798","KLF5","ENSG00000102554"
"ENSNFUG00015016838","PI4KA","ENSG00000241973"
"ENSNFUG00015005293","MRPL57","ENSG00000173141"
"ENSNFUG00015013289","MTCL1","ENSG00000168502"
"ENSNFUG00015013268","CLDN8","ENSG00000156284"
"ENSNFUG00015004972","TSC22D1","ENSG00000102804"
"ENSNFUG00015005968","ADA2","ENSG00000093072"
"ENSNFUG00015014168","ATRN","ENSG00000088812"
"ENSNFUG00015013232","GRIK1","ENSG00000171189"
"ENSNFUG00015002795","TMEM121B","ENSG00000183307"
"ENSNFUG00015008410","CXADR","ENSG00000154639"
"ENSNFUG00015016257","TMEM200C","ENSG00000206432"
"ENSNFUG00015024683","U2AF1L5","ENSG00000275895"
"ENSNFUG00015016143","RAB31","ENSG00000168461"
"ENSNFUG00015008351","","ENSG00000251796"
"ENSNFUG00015008351","","ENSG00000251925"
"ENSNFUG00015012531","RIMBP3","ENSG00000275793"
"ENSNFUG00015013345","SCAF4","ENSG00000156304"
"ENSNFUG00015011714","KL","ENSG00000133116"
"ENSNFUG00015017278","CHMP1B","ENSG00000255112"
"ENSNFUG00015007730","MORC3","ENSG00000159256"
"ENSNFUG00015008339","CCNA1","ENSG00000133101"
"ENSNFUG00015016594","CLTCL1","ENSG00000070371"
"ENSNFUG00015016252","SETDB2","ENSG00000136169"
"ENSNFUG00015024553","MZT1","ENSG00000204899"
"ENSNFUG00015007239","MRPS6","ENSG00000243927"
"ENSNFUG00015002676","CETN1","ENSG00000177143"
"ENSNFUG00015001811","FHOD3","ENSG00000134775"
"ENSNFUG00015006149","U2AF1L5","ENSG00000275895"
"ENSNFUG00015007974","GGT2","ENSG00000133475"
"ENSNFUG00015007974","GGTLC3","ENSG00000274252"
"ENSNFUG00015007974","GGTLC2","ENSG00000100121"
"ENSNFUG00015001279","ADRA1D","ENSG00000171873"
"ENSNFUG00015011855","DNAJC15","ENSG00000120675"
"ENSNFUG00015022692","IL17RA","ENSG00000177663"
"ENSNFUG00015010946","ADCYAP1","ENSG00000141433"
"ENSNFUG00015005781","YES1","ENSG00000176105"
"ENSNFUG00015009867","CNMD","ENSG00000136110"
"ENSNFUG00015023616","PSMG2","ENSG00000128789"
"ENSNFUG00015007401","ENOX1","ENSG00000120658"
"ENSNFUG00015021325","FHOD3","ENSG00000134775"
"ENSNFUG00015013546","MMP11","ENSG00000099953"
"ENSNFUG00015012343","POSTN","ENSG00000133110"
"ENSNFUG00015018031","SCAF4","ENSG00000156304"
"ENSNFUG00015018440","GRIK1","ENSG00000171189"
"ENSNFUG00015020524","CAB39L","ENSG00000102547"
"ENSNFUG00015021739","PROSER1","ENSG00000120685"
"ENSNFUG00015006819","","ENSG00000273167"
"ENSNFUG00015003999","PCDH11Y","ENSG00000099715"
"ENSNFUG00015002808","B3GLCT","ENSG00000187676"
"ENSNFUG00015023232","SLC6A1","ENSG00000157103"
"ENSNFUG00015006126","BMP2","ENSG00000125845"
"ENSNFUG00015015298","COX19","ENSG00000240230"
"ENSNFUG00015005495","SBNO2","ENSG00000064932"
"ENSNFUG00015023944","AGPAT3","ENSG00000160216"
"ENSNFUG00015018562","DYNC1LI1","ENSG00000144635"
"ENSNFUG00015021104","GATD3A","ENSG00000160221"
"ENSNFUG00015010845","TNRC6B","ENSG00000100354"
"ENSNFUG00015013301","MBTPS2","ENSG00000012174"
"ENSNFUG00015018750","GTSE1","ENSG00000075218"
"ENSNFUG00015021574","","ENSG00000288616"
"ENSNFUG00015021574","","ENSG00000288607"
"ENSNFUG00015021574","","ENSG00000288631"
"ENSNFUG00015008337","C2CD2","ENSG00000157617"
"ENSNFUG00015019155","BPI","ENSG00000101425"
"ENSNFUG00015006666","USP6","ENSG00000129204"
"ENSNFUG00015016211","ACSS2","ENSG00000131069"
"ENSNFUG00015019346","PIK3IP1","ENSG00000100100"
"ENSNFUG00015008126","TNFSF11","ENSG00000120659"
"ENSNFUG00015024939","CAMKK1","ENSG00000004660"
"ENSNFUG00015021060","PFKFB3","ENSG00000170525"
"ENSNFUG00015021522","RPL3","ENSG00000100316"
"ENSNFUG00015005272","PACSIN2","ENSG00000100266"
"ENSNFUG00015018988","TNFRSF11A","ENSG00000141655"
"ENSNFUG00015004689","ATP5F1C","ENSG00000165629"
"ENSNFUG00015024727","ATP5MGL","ENSG00000249222"
"ENSNFUG00015024809","ZZEF1","ENSG00000074755"
"ENSNFUG00015006089","SPAG7","ENSG00000091640"
"ENSNFUG00015008630","CEP76","ENSG00000101624"
"ENSNFUG00015003485","CBX7","ENSG00000100307"
"ENSNFUG00015009714","PALM","ENSG00000099864"
"ENSNFUG00015005809","PBDC1","ENSG00000102390"
"ENSNFUG00015002775","PVALB","ENSG00000100362"
"ENSNFUG00015024942","P2RX1","ENSG00000108405"
"ENSNFUG00015011861","","ENSG00000251778"
"ENSNFUG00015020729","TSPYL2","ENSG00000184205"
"ENSNFUG00015017321","ANKRD54","ENSG00000100124"
"ENSNFUG00015015192","TRPC4","ENSG00000133107"
"ENSNFUG00015024237","UPF2","ENSG00000151461"
"ENSNFUG00015011923","FOXR2","ENSG00000189299"
"ENSNFUG00015018416","SPART","ENSG00000133104"
"ENSNFUG00015010848","RB1","ENSG00000139687"
"ENSNFUG00015021602","FAM110A","ENSG00000125898"
"ENSNFUG00015017073","PDGFA","ENSG00000197461"
"ENSNFUG00015014490","NKX2-4","ENSG00000125816"
"ENSNFUG00015014071","LMO7","ENSG00000136153"
"ENSNFUG00015011078","ICA1","ENSG00000003147"
"ENSNFUG00015012302","S100G","ENSG00000169906"
"ENSNFUG00015007006","HTR2A","ENSG00000102468"
"ENSNFUG00015022202","SHISAL1","ENSG00000138944"
"ENSNFUG00015018146","CYB5R3","ENSG00000100243"
"ENSNFUG00015011065","KIAA1217","ENSG00000120549"
"ENSNFUG00015007042","SUCLA2","ENSG00000136143"
"ENSNFUG00015025020","GRIN3B","ENSG00000116032"
"ENSNFUG00015009006","PRTFDC1","ENSG00000099256"
"ENSNFUG00015018603","ME2","ENSG00000082212"
"ENSNFUG00015019181","ZDHHC20","ENSG00000180776"
"ENSNFUG00015012536","ELMO2","ENSG00000062598"
"ENSNFUG00015019073","SYN3","ENSG00000185666"
"ENSNFUG00015017179","PTPRT","ENSG00000196090"
"ENSNFUG00015019890","ELP2","ENSG00000134759"
"ENSNFUG00015017546","MIOX","ENSG00000100253"
"ENSNFUG00015010315","PLCB1","ENSG00000182621"
"ENSNFUG00015003950","ZADH2","ENSG00000180011"
"ENSNFUG00015021683","TPTE2","ENSG00000132958"
"ENSNFUG00015021683","TPTE","ENSG00000274391"
"ENSNFUG00015003751","GPCPD1","ENSG00000125772"
"ENSNFUG00015011112","ARMC3","ENSG00000165309"
"ENSNFUG00015023923","PDXK","ENSG00000160209"
"ENSNFUG00015003380","ATP5F1A","ENSG00000152234"
"ENSNFUG00015023510","MAP7D2","ENSG00000184368"
"ENSNFUG00015013070","IL3RA","ENSG00000185291"
"ENSNFUG00015013070","CRLF2","ENSG00000205755"
"ENSNFUG00015006661","ZNF521","ENSG00000198795"
"ENSNFUG00015017601","RBP3","ENSG00000265203"
"ENSNFUG00015020429","GAS6","ENSG00000183087"
"ENSNFUG00015011820","PNPLA3","ENSG00000100344"
"ENSNFUG00015016547","P2RX5-TAX1BP3","ENSG00000257950"
"ENSNFUG00015004676","SLC15A1","ENSG00000088386"
"ENSNFUG00015014030","EIF2AK1","ENSG00000086232"
"ENSNFUG00015020249","TP53RK","ENSG00000172315"
"ENSNFUG00015007925","REM1","ENSG00000088320"
"ENSNFUG00015014892","TXLNG","ENSG00000086712"
"ENSNFUG00015016899","CDH7","ENSG00000081138"
"ENSNFUG00015021349","BRD1","ENSG00000100425"
"ENSNFUG00015018581","ZFAND4","ENSG00000172671"
"ENSNFUG00015023652","ZCCHC13","ENSG00000187969"
"ENSNFUG00015014991","KIAA1217","ENSG00000120549"
"ENSNFUG00015014343","KIF3B","ENSG00000101350"
"ENSNFUG00015016362","TMTC4","ENSG00000125247"
"ENSNFUG00015017521","TRIM13","ENSG00000204977"
"ENSNFUG00015012531","RIMBP3B","ENSG00000274600"
"ENSNFUG00015010641","PIP4K2A","ENSG00000150867"
"ENSNFUG00015019759","NPY","ENSG00000122585"
"ENSNFUG00015009890","PCDH17","ENSG00000118946"
"ENSNFUG00015005744","TYMS","ENSG00000176890"
"ENSNFUG00015014379","ST8SIA3","ENSG00000177511"
"ENSNFUG00015025109","RBM38","ENSG00000132819"
"ENSNFUG00015000646","APBB1","ENSG00000166313"
"ENSNFUG00015004716","BIVM-ERCC5","ENSG00000270181"
"ENSNFUG00015004716","BIVM","ENSG00000134897"
"ENSNFUG00015011614","C2CD4C","ENSG00000183186"
"ENSNFUG00015006131","GABPA","ENSG00000154727"
"ENSNFUG00015021332","FAM110A","ENSG00000125898"
"ENSNFUG00015012268","VIM","ENSG00000026025"
"ENSNFUG00015022862","OSBP2","ENSG00000184792"
"ENSNFUG00015008343","SERTM1","ENSG00000180440"
"ENSNFUG00015007890","RBM38","ENSG00000132819"
"ENSNFUG00015001474","SLITRK6","ENSG00000184564"
"ENSNFUG00015013410","PTCHD1","ENSG00000165186"
"ENSNFUG00015006603","CCKBR","ENSG00000110148"
"ENSNFUG00015023401","RIOK3","ENSG00000101782"
"ENSNFUG00015007064","RALGAPB","ENSG00000170471"
"ENSNFUG00015024192","WNT7A","ENSG00000154764"
"ENSNFUG00015019029","GALNT18","ENSG00000110328"
"ENSNFUG00015016859","YWHAB","ENSG00000166913"
"ENSNFUG00015000564","CLDN10","ENSG00000134873"
"ENSNFUG00015001937","BRD1","ENSG00000100425"
"ENSNFUG00015012336","KLF6","ENSG00000067082"
"ENSNFUG00015019997","WNT7B","ENSG00000188064"
"ENSNFUG00015000602","ABCC4","ENSG00000125257"
"ENSNFUG00015015120","XBP1","ENSG00000100219"
"ENSNFUG00015011386","","ENSG00000238390"
"ENSNFUG00015007605","DHRSX","ENSG00000169084"
"ENSNFUG00015023102","PHLPP1","ENSG00000081913"
"ENSNFUG00015002650","GFER","ENSG00000127554"
"ENSNFUG00015024009","PFDN4","ENSG00000101132"
"ENSNFUG00015017597","GDF2","ENSG00000263761"
"ENSNFUG00015004882","FAM47B","ENSG00000189132"
"ENSNFUG00015005070","EYA2","ENSG00000064655"
"ENSNFUG00015015251","UPF3A","ENSG00000169062"
"ENSNFUG00015003227","PPP4R3C","ENSG00000224960"
"ENSNFUG00015012832","AKR1E2","ENSG00000165568"
"ENSNFUG00015014013","SLC15A1","ENSG00000088386"
"ENSNFUG00015008154","PRTFDC1","ENSG00000099256"
"ENSNFUG00015003870","MBP","ENSG00000197971"
"ENSNFUG00015004866","GRPR","ENSG00000126010"
"ENSNFUG00015024631","HPS5","ENSG00000110756"
"ENSNFUG00015005631","ASMT","ENSG00000196433"
"ENSNFUG00015021841","TTC28","ENSG00000100154"
"ENSNFUG00015003400","RNF165","ENSG00000141622"
"ENSNFUG00015023533","PDHA1","ENSG00000131828"
"ENSNFUG00015004767","KIN","ENSG00000151657"
"ENSNFUG00015013977","AIRE","ENSG00000160224"
"ENSNFUG00015014206","EIF3D","ENSG00000100353"
"ENSNFUG00015006591","KCTD1","ENSG00000134504"
"ENSNFUG00015023991","RCL1","ENSG00000120158"
"ENSNFUG00015022952","PTF1A","ENSG00000168267"
"ENSNFUG00015004092","ZDHHC13","ENSG00000177054"
"ENSNFUG00015013038","NCOA6","ENSG00000198646"
"ENSNFUG00015013963","FOXL3","ENSG00000248767"
"ENSNFUG00015022366","EIF2S3","ENSG00000130741"
"ENSNFUG00015025218","NLGN4X","ENSG00000146938"
"ENSNFUG00015013152","DHX35","ENSG00000101452"
"ENSNFUG00015008480","MKX","ENSG00000150051"
"ENSNFUG00015014197","CUL4A","ENSG00000139842"
"ENSNFUG00015019230","ONECUT3","ENSG00000205922"
"ENSNFUG00015002203","NUDT15","ENSG00000136159"
"ENSNFUG00015005140","SLC6A1","ENSG00000157103"
"ENSNFUG00015006229","SIK1","ENSG00000142178"
"ENSNFUG00015004969","RALY","ENSG00000125970"
"ENSNFUG00015002970","TST","ENSG00000128311"
"ENSNFUG00015018135","SAMM50","ENSG00000100347"
"ENSNFUG00015023661","FSTL3","ENSG00000070404"
"ENSNFUG00015017880","ONECUT3","ENSG00000205922"
"ENSNFUG00015018617","RAI2","ENSG00000131831"
"ENSNFUG00015020333","GAD2","ENSG00000136750"
"ENSNFUG00015006206","TBC1D25","ENSG00000068354"
"ENSNFUG00015003762","SNORD58A","ENSG00000206602"
"ENSNFUG00015003762","SNORD58B","ENSG00000271982"
"ENSNFUG00015007525","EFNB2","ENSG00000125266"
"ENSNFUG00015022320","MAP7D2","ENSG00000184368"
"ENSNFUG00015016273","F7","ENSG00000057593"
"ENSNFUG00015009761","MIR133A1","ENSG00000283927"
"ENSNFUG00015011324","DIAPH3","ENSG00000139734"
"ENSNFUG00015020040","PPARA","ENSG00000186951"
"ENSNFUG00015022180","FAM9B","ENSG00000177138"
"ENSNFUG00015022180","FAM9C","ENSG00000187268"
"ENSNFUG00015022180","FAM9A","ENSG00000183304"
"ENSNFUG00015010809","NOVA1","ENSG00000139910"
"ENSNFUG00015013295","SMPX","ENSG00000091482"
"ENSNFUG00015021444","CDK16","ENSG00000102225"
"ENSNFUG00015009261","RCBTB2","ENSG00000136161"
"ENSNFUG00015016264","F7","ENSG00000057593"
"ENSNFUG00015014017","STT3B","ENSG00000163527"
"ENSNFUG00015018958","FAM83F","ENSG00000133477"
"ENSNFUG00015023852","ATP9A","ENSG00000054793"
"ENSNFUG00015004659","ARFGAP3","ENSG00000242247"
"ENSNFUG00015020408","GRK1","ENSG00000185974"
"ENSNFUG00015011347","INS-IGF2","ENSG00000129965"
"ENSNFUG00015014264","FBXO15","ENSG00000141665"
"ENSNFUG00015021932","KLF8","ENSG00000102349"
"ENSNFUG00015011211","GGA1","ENSG00000100083"
"ENSNFUG00015008391","RIPK4","ENSG00000183421"
"ENSNFUG00015016014","SNX6","ENSG00000129515"
"ENSNFUG00015022361","KLHL15","ENSG00000174010"
"ENSNFUG00015013168","TASP1","ENSG00000089123"
"ENSNFUG00015008385","TPGS2","ENSG00000134779"
"ENSNFUG00015007545","C21orf62","ENSG00000205929"
"ENSNFUG00015008722","PABPC1L2A","ENSG00000186288"
"ENSNFUG00015024660","PRPS1L1","ENSG00000229937"
"ENSNFUG00015019983","RAD18","ENSG00000070950"
"ENSNFUG00015011379","RBFOX2","ENSG00000100320"
"ENSNFUG00015009776","SYAP1","ENSG00000169895"
"ENSNFUG00015018014","CFAP298","ENSG00000159079"
"ENSNFUG00015018014","CFAP298-TCP10L","ENSG00000265590"
"ENSNFUG00015011852","PNPLA3","ENSG00000100344"
"ENSNFUG00015001323","TBC1D22A","ENSG00000054611"
"ENSNFUG00015006774","TTC39C","ENSG00000168234"
"ENSNFUG00015023136","TOX2","ENSG00000124191"
"ENSNFUG00015014981","CDH26","ENSG00000124215"
"ENSNFUG00015022757","PFKFB1","ENSG00000158571"
"ENSNFUG00015020395","TMCO3","ENSG00000150403"
"ENSNFUG00015009276","NRIP1","ENSG00000180530"
"ENSNFUG00015016889","PABPC1L","ENSG00000101104"
"ENSNFUG00015023408","AKR1C3","ENSG00000196139"
"ENSNFUG00015023408","AKR1C2","ENSG00000151632"
"ENSNFUG00015023408","AKR1C1","ENSG00000187134"
"ENSNFUG00015023408","AKR1C8P","ENSG00000264006"
"ENSNFUG00015023408","AKR1C4","ENSG00000198610"
"ENSNFUG00015015756","BPI","ENSG00000101425"
"ENSNFUG00015009325","UBA1","ENSG00000130985"
"ENSNFUG00015013234","ITSN1","ENSG00000205726"
"ENSNFUG00015006947","ESD","ENSG00000139684"
"ENSNFUG00015013159","FLRT3","ENSG00000125848"
"ENSNFUG00015018145","NUP58","ENSG00000139496"
"ENSNFUG00015015574","SNAI1","ENSG00000124216"
"ENSNFUG00015005315","SUN2","ENSG00000100242"
"ENSNFUG00015003846","STT3B","ENSG00000163527"
"ENSNFUG00015019393","MOB2","ENSG00000182208"
"ENSNFUG00015003035","CDPF1","ENSG00000205643"
"ENSNFUG00015011416","DNAJC3","ENSG00000102580"
"ENSNFUG00015013223","BACH1","ENSG00000156273"
"ENSNFUG00015000227","ST8SIA3","ENSG00000177511"
"ENSNFUG00015003795","IL3RA","ENSG00000185291"
"ENSNFUG00015003795","CRLF2","ENSG00000205755"
"ENSNFUG00015011689","TPT1","ENSG00000133112"
"ENSNFUG00015019240","TPTEP2-CSNK1E","ENSG00000283900"
"ENSNFUG00015019240","CSNK1E","ENSG00000213923"
"ENSNFUG00015023544","","ENSG00000212377"
"ENSNFUG00015009005","MIR18A","ENSG00000283815"
"ENSNFUG00015001004","NANP","ENSG00000170191"
"ENSNFUG00015022745","SRPX","ENSG00000101955"
"ENSNFUG00015018729","CLDN34","ENSG00000234469"
"ENSNFUG00015024683","U2AF1","ENSG00000160201"
"ENSNFUG00015018840","ELAC1","ENSG00000141642"
"ENSNFUG00015021462","C7orf50","ENSG00000146540"
"ENSNFUG00015003427","GRPR","ENSG00000126010"
"ENSNFUG00015011146","STARD13","ENSG00000133121"
"ENSNFUG00015021697","CHST7","ENSG00000147119"
"ENSNFUG00015017608","RBP3","ENSG00000265203"
"ENSNFUG00015020369","DCUN1D2","ENSG00000150401"
"ENSNFUG00015021798","PATZ1","ENSG00000100105"
"ENSNFUG00015000505","CAMKK1","ENSG00000004660"
"ENSNFUG00015020355","TUBGCP3","ENSG00000126216"
"ENSNFUG00015014749","SLC23A2","ENSG00000089057"
"ENSNFUG00015005374","VPS26C","ENSG00000157538"
"ENSNFUG00015015107","CST7","ENSG00000077984"
"ENSNFUG00015005990","MAP1LC3A","ENSG00000101460"
"ENSNFUG00015010152","CLDN10","ENSG00000134873"
"ENSNFUG00015008767","GLRA2","ENSG00000101958"
"ENSNFUG00015003649","GZF1","ENSG00000125812"
"ENSNFUG00015009574","NHLRC3","ENSG00000188811"
"ENSNFUG00015018457","LIPG","ENSG00000101670"
"ENSNFUG00015004952","SYNGR1","ENSG00000100321"
"ENSNFUG00015022135","LARP4B","ENSG00000107929"
"ENSNFUG00015005348","NCF4","ENSG00000100365"
"ENSNFUG00015022267","IL3RA","ENSG00000185291"
"ENSNFUG00015022267","CRLF2","ENSG00000205755"
"ENSNFUG00015020741","WDR13","ENSG00000101940"
"ENSNFUG00015013935","ASCC2","ENSG00000100325"
